Label,Item,Especialidad,Cod_SAP,Und,Sitio,Tipo,Alcance,Catalogo,Cant_Contractual
019 — PK-47+128 · Suministro de materiales y construcción de caseta tipo bunker de dos espacios para URPC  [Und],19,CIV,3000649,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.23,1
020 — PK-47+128 · Suministro e instalación de candado antipalanca anticizalla de seguridad  [und],20,CIV,3023695,und,PK-47+128,Servicios,ALCANCE B SERVICIOS,1.35,1
021 — PK-47+128 · Medición de equipotencialidad  [Und],21,ELE,3002737,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.1,1
022 — PK-47+128 · Suministro e instalación de bandeja portacables  [m],22,ELE, ,m,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.2,1
023 — PK-47+128 · Instalación y tendido de cable de Protección Catódica  [m],23,ELE,3001496,m,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.4,40
"024 — PK-47+128 · Suministro, instalacion y tendido de de cable de cobre desnudo No 2/0 AWG  [m]",24,ELE,3001976,m,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.6.1,40
"025 — PK-47+128 · Suministro e instalación de caja de conexión para negativos, NEMA 4X, 32 cm x 18 cm x 14 cm  [Und]",25,ELE,3000768,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.9.1,1
"026 — PK-47+128 · Suministro e instalación de caja de conexión para positivos, NEMA 4X, 32 cm x 18 cm x 14 cm  [Und]",26,ELE,3001148,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.9.2,1
"027 — PK-47+128 · Suministro e instalación de tubería conduit galvanizada IMC de 1 1/2""  [m]",27,ELE,3002339,m,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.12.2,20
028 — PK-47+128 · Suministro de Transformador de 15 KVA convencional tipo poste  [Und],28,ELE,3001129,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.14,1
029 — PK-47+128 · Suministro e instalación de acometida AC en línea  [m],29,ELE,3010072,m,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.16,50
"030 — PK-47+128 · Suministro e instalación de varilla de puesta a tierra cooper weld certificado ø5/8"" longitud 2.44 m  [Und]",30,ELE,3001150,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.17,3
"031 — PK-47+128 · Suministro de accesorios e instalación conjunto ct (centro de transformación) bifásico en poste, hasta 25 kVA  [Und]",31,ELE,3026477,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.22.9,1
032 — PK-47+128 · Suministro e instalación de elementos de seguridad para acometidas aéreas.  [Und],32,ELE,3026479,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.22.11,1
"033 — PK-47+128 · Suministro e instalación de poste anular de concreto pretensado, 12m, 1050 kgf  [Und]",33,ELE,3026495,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.25.4,2
034 — PK-47+128 · Suministro de seccionador monopolar para redes de 27 kVA  [Und],34,ELE,3026499,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,2.26.2,1
035 — PK-47+128 · Instalación de unidad de monitoreo remoto en rectificadores de protección catódica  [Und],35,COR,3035047,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.2.4,1
036 — PK-47+128 · Evaluación de potenciales de protección catódica  [km],36,COR,3026528,km,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.17,20
037 — PK-47+128 · Precomisionamiento y puesta en marcha en línea  [Und],37,COR,3026529,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,318.1,1
038 — PK-47+128 · Suministro y aplicación de soldadura exotérmica de cables carga 15 g cable a estructura  [Und],38,COR,3001984,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.19.1,2
039 — PK-47+128 · Instalación de Rectificador de protección catódica  [Und],39,COR,3012251,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.29,1
040 — PK-47+128 · Instalación de ánodo en cama profunda y semiprofunda  [und],40,COR,3012190,und,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.20,9
041 — PK-47+128 · Suministro e instalacion de estacion de prueba en linea  [Und],41,COR,3012259,Und,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.34,1
042 — PK-47+128 · Instalación de electrodo de referencia permanente para estructuras enterradas  [und],42,COR,3012260,und,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.35,1
043 — PK-47+128 · Suministro y ejecución de empalme en derivación tipo Splice Kit 90B-1/82-A2N o similar  [km],43,COR,3012264,km,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.39,1
044 — PK-47+128 · Inspección de Potenciales a Intervalos Cortos - CIPS  [km],44,COR,3012284,km,PK-47+128,Servicios,ALCANCE B SERVICIOS,3.48,5
045 — PK-321+100 · Movilización y desmovilización  [Und],45,CIV,3000672,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.1,1
046 — PK-321+100 · Campamento de obra (Instalaciones temporales)  [Und],46,CIV,3001334,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.2,1
047 — PK-321+100 · Identificación de estructuras enterradas  [m²],47,CIV,3001545,m²,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.3,9
048 — PK-321+100 · Excavación manual (incluye retiro a botadero autorizado)  [m3],48,CIV,3000642,m3,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.4,10
049 — PK-321+100 · Relleno (compactado)  [m3],49,CIV,3000872,m3,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.6,10
050 — PK-321+100 · Perforacion vertical  [m],50,CIV,3012173,m,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.18,200
051 — PK-321+100 · Suministro de materiales y construcción de caseta tipo bunker de dos espacios para URPC  [Und],51,CIV,3000649,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.23,1
052 — PK-321+100 · Suministro e instalación de candado antipalanca anticizalla de seguridad  [und],52,CIV,3023695,und,PK-321+100,Servicios,ALCANCE B SERVICIOS,1.35,1
053 — PK-321+100 · Medición de equipotencialidad  [Und],53,ELE,3002737,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.1,1
054 — PK-321+100 · Suministro e instalación de bandeja portacables  [m],54,ELE,3002737,m,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.2,1
055 — PK-321+100 · Instalación y tendido de cable de Protección Catódica  [m],55,ELE,3001496,m,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.4,50
"056 — PK-321+100 · Suministro, instalacion y tendido de de cable de cobre desnudo No 2/0 AWG  [m]",56,ELE,3001976,m,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.6.1,40
"057 — PK-321+100 · Suministro e instalación de caja de conexión para negativos, NEMA 4X, 32 cm x 18 cm x 14 cm  [Und]",57,ELE,3000768,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.9.1,1
"058 — PK-321+100 · Suministro e instalación de caja de conexión para positivos, NEMA 4X, 32 cm x 18 cm x 14 cm  [Und]",58,ELE,3001148,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.9.2,1
"059 — PK-321+100 · Suministro e instalación de tubería conduit galvanizada IMC de 1 1/2""  [m]",59,ELE,3002339,m,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.12.2,20
060 — PK-321+100 · Suminstro de transformador de hasta 30 KVA tipo paudmounted o pedestal  [Und],60,ELE,3002892,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.15,1
061 — PK-321+100 · Suministro e instalación de acometida AC en línea  [m],61,ELE,3010072,m,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.16,50
"062 — PK-321+100 · Suministro e instalación de varilla de puesta a tierra cooper weld certificado ø5/8"" longitud 2.44 m  [Und]",62,ELE,3001150,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.17,3
"063 — PK-321+100 · Suministro de accesorios e instalación conjunto ct (centro de transformación) trifásico en poste, hasta 45 kVA  [Und]",63,ELE,3026478,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.22.10,1
064 — PK-321+100 · Suministro e instalación de elementos de seguridad para acometidas aéreas.  [Und],64,ELE,3026479,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.22.11,1
"065 — PK-321+100 · Suministro e instalación de poste anular de concreto pretensado, 12m, 1050 kgf  [Und]",65,ELE,3026495,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.25.4,2
066 — PK-321+100 · Suministro de seccionador monopolar para redes de 27 kVA  [Und],66,ELE,3026499,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,2.26.2,1
067 — PK-321+100 · Instalación de unidad de monitoreo remoto en rectificadores de protección catódica  [Und],67,COR,3035047,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.2.4,1
068 — PK-321+100 · Evaluación de potenciales de protección catódica  [km],68,COR,3026528,km,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.17,20
069 — PK-321+100 · Precomisionamiento y puesta en marcha en línea  [Und],69,COR,3026529,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,318.1,1
070 — PK-321+100 · Suministro y aplicación de soldadura exotérmica de cables carga 15 g cable a estructura  [Und],70,COR,3001984,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.19.1,2
071 — PK-321+100 · Instalación de Rectificador de protección catódica  [Und],71,COR,3012251,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.29,1
072 — PK-321+100 · Instalación de ánodo en cama profunda y semiprofunda  [und],72,COR,3012190,und,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.20,10
073 — PK-321+100 · Suministro e instalacion de estacion de prueba en linea  [Und],73,COR,3012259,Und,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.34,1
074 — PK-321+100 · Instalación de electrodo de referencia permanente para estructuras enterradas  [und],74,COR,3012260,und,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.35,1
075 — PK-321+100 · Suministro y ejecución de empalme en derivación tipo Splice Kit 90B-1/82-A2N o similar  [km],75,COR,3012264,km,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.39,1
076 — PK-321+100 · Inspección de Potenciales a Intervalos Cortos - CIPS  [km],76,COR,3012284,km,PK-321+100,Servicios,ALCANCE B SERVICIOS,3.48,5
078 — PK-47+128 · Suministro de unidad de monitoreo remoto en rectificadores de protección catódica  [Und],78,COR,3026504,Und,PK-47+128,Suministros,ALCANCE B SUMINISTROS,3.2.2,1
"079 — PK-47+128 · Suministro de ánodo de MMO LIDA ONE o similar 1"" x 60"" con 80 m de cable HMWPE No. 8 AWG  [Und]",79,COR,3012210,Und,PK-47+128,Suministros,ALCANCE B SUMINISTROS,3.23.12,8
"080 — PK-47+128 · Suministro de ánodo de MMO LIDA ONE o similar 1"" x 45"" con 60 m de cable HMWPE No. 8 AWG  [Und]",80,COR,3012216,Und,PK-47+128,Suministros,ALCANCE B SUMINISTROS,3.23.18,1
"081 — PK-47+128 · Suministro de Rectificador de corriente para protección catódica, potencia de salida DC mayor a 5000 W, enfriado por aceite NEMA 7  [Und]",81,COR,3012255,Und,PK-47+128,Suministros,ALCANCE B SUMINISTROS,3.30.4,1
082 — PK-47+128 · Suministro de electrodo de referencia permanente cucuso4 IR FREE con 20 m de cable RHHN AWG #12  [Und],82,COR,3012261,Und,PK-47+128,Suministros,ALCANCE B SUMINISTROS,3.36,1
083 — PK-47+128 · Suministro de Coque calcinado de petróleo Loresco SC3 o DW1 (según aplique)  [Kg],83,COR,3005961,Kg,PK-47+128,Suministros,ALCANCE B SUMINISTROS,3.40,3850
084 — PK-321+100 · Suministro de unidad de monitoreo remoto en rectificadores de protección catódica  [Und],84,COR,3026504,Und,PK-321+100,Suministros,ALCANCE B SUMINISTROS,3.2.2,1
"085 — PK-321+100 · Suministro de ánodo de MMO LIDA ONE o similar 1"" x 60"" con 80 m de cable HMWPE No. 8 AWG  [Und]",85,COR,3012210,Und,PK-321+100,Suministros,ALCANCE B SUMINISTROS,3.23.12,9
"086 — PK-321+100 · Suministro de ánodo de MMO LIDA ONE o similar 1"" x 45"" con 60 m de cable HMWPE No. 8 AWG  [Und]",86,COR,3012216,Und,PK-321+100,Suministros,ALCANCE B SUMINISTROS,3.23.18,1
"087 — PK-321+100 · Suministro de Rectificador de corriente para protección catódica, potencia de salida DC mayor a 5000 W, enfriado por aceite NEMA 7  [Und]",87,COR,3012255,Und,PK-321+100,Suministros,ALCANCE B SUMINISTROS,3.30.4,1
088 — PK-321+100 · Suministro de electrodo de referencia permanente cucuso4 IR FREE con 20 m de cable RHHN AWG #12  [Und],88,COR,3012261,Und,PK-321+100,Suministros,ALCANCE B SUMINISTROS,3.36,1
089 — PK-321+100 · Suministro de Coque calcinado de petróleo Loresco SC3 o DW1 (según aplique)  [Kg],89,COR,3005961,Kg,PK-321+100,Suministros,ALCANCE B SUMINISTROS,3.40,7100
091 — PK-13+300 · Movilización y desmovilización  [Und],91,CIV,3000672,Und,PK-13+300,Servicios,ALCANCE C SERVICIOS,1.1,1
092 — PK-13+300 · Elaboración de la Ingeniería de Detalle en línea  [Und],92,COR,3000933,Und,PK-13+300,Servicios,ALCANCE C SERVICIOS,3.1.1,1
